"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,1.733333,,
"CZE","Czech Republic","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,1.8,,
"CZE","Czech Republic","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,1.8,,
"CZE","Czech Republic","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,2.2,,
"CZE","Czech Republic","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,2.433333,,
"CZE","Czech Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.1,,
"CZE","Czech Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.966667,,
"CZE","Czech Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,2,,
"CZE","Czech Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,2.033333,,
"CZE","Czech Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,2.033333,,
"CZE","Czech Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,2.433333,,
"CZE","Czech Republic","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,2.766667,,
"DNK","Denmark","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,5.666667,,
"DNK","Denmark","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,5.033333,,
"DNK","Denmark","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,5.166667,,
"DNK","Denmark","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,5.466667,,
"DNK","Denmark","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,5.066667,,
"DNK","Denmark","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.9,,
"DNK","Denmark","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,6.333333,,
"DNK","Denmark","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,4.966667,,
"DNK","Denmark","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,4.866667,,
"DNK","Denmark","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,4.666667,,
"DNK","Denmark","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,4.733333,,
"DNK","Denmark","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,4.7,,
"DNK","Denmark","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.066667,,
"DNK","Denmark","LRHUTTMA","Unemployment rate (monthly), Total, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,6.033333,,
"DNK","Denmark","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,5.266667,,
"DNK","Denmark","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,4.933333,,
"DNK","Denmark","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,4.9,,
"DNK","Denmark","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,5.066667,,
"DNK","Denmark","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,4.866667,,
"DNK","Denmark","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,5.466667,,
"DNK","Denmark","LRHUTTTT","Unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,6.2,,
"FIN","Finland","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,6.033333,,
"FIN","Finland","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,6,,
"FIN","Finland","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q3","Q3-2019","PC","Percentage","0","Units",,,6.3,,
"FIN","Finland","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2019-Q4","Q4-2019","PC","Percentage","0","Units",,,6.366667,,
"FIN","Finland","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,6.4,,
"FIN","Finland","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,7.566667,,
"FIN","Finland","LRHUTTFE","Unemployment rate (monthly), Total, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2020-Q3","Q3-2020","PC","Percentage","0","Units",,,8.033334,,
